payment_id,subscription_id,user_id,payment_date,amount,payment_method,payment_status,invoice_number
1340,691,691,2025-01-01,20,PayPal,Success,INV-001340
5488,2767,2767,2025-01-01,240,UPI,Failed,INV-005488
2713,1339,1339,2025-01-01,20,Bank Transfer,Success,INV-002713
3525,1743,1743,2025-01-01,240,UPI,Success,INV-003525
1220,630,630,2025-01-03,20,Credit Card,Success,INV-001220
828,457,457,2025-01-03,20,Bank Transfer,Success,INV-000828
495,285,285,2025-01-03,20,Bank Transfer,Success,INV-000495
3728,1833,1833,2025-01-03,20,UPI,Success,INV-003728
886,475,475,2025-01-03,600,PayPal,Success,INV-000886
4622,2333,2333,2025-01-04,50,UPI,Success,INV-004622
3126,1561,1561,2025-01-05,20,PayPal,Success,INV-003126
1428,722,722,2025-01-05,20,Bank Transfer,Success,INV-001428
3959,1946,1946,2025-01-05,20,Credit Card,Failed,INV-003959
4094,2030,2030,2025-01-05,20,UPI,Success,INV-004094
55,19,19,2025-01-05,50,Credit Card,Success,INV-000055
5595,2833,2833,2025-01-05,20,UPI,Success,INV-005595
1057,563,563,2025-01-07,20,Credit Card,Success,INV-001057
680,369,369,2025-01-07,50,PayPal,Success,INV-000680
2015,994,994,2025-01-08,600,Credit Card,Success,INV-002015
1922,941,941,2025-01-08,20,UPI,Success,INV-001922
723,394,394,2025-01-08,240,Credit Card,Success,INV-000723
3664,1804,1804,2025-01-08,600,PayPal,Success,INV-003664
809,454,454,2025-01-08,50,Credit Card,Success,INV-000809
3238,1600,1600,2025-01-09,50,PayPal,Success,INV-003238
3407,1682,1682,2025-01-09,50,PayPal,Success,INV-003407
5875,2969,2969,2025-01-09,20,Bank Transfer,Success,INV-005875
4988,2504,2504,2025-01-09,20,Bank Transfer,Success,INV-004988
5128,2586,2586,2025-01-10,240,UPI,Failed,INV-005128
170,78,78,2025-01-10,50,Credit Card,Success,INV-000170
4676,2350,2350,2025-01-11,240,PayPal,Success,INV-004676
4664,2347,2347,2025-01-11,20,Bank Transfer,Success,INV-004664
895,487,487,2025-01-11,50,PayPal,Success,INV-000895
5371,2708,2708,2025-01-12,50,Bank Transfer,Success,INV-005371
217,99,99,2025-01-12,20,Credit Card,Success,INV-000217
550,299,299,2025-01-12,20,PayPal,Success,INV-000550
1858,907,907,2025-01-12,20,Bank Transfer,Success,INV-001858
1274,660,660,2025-01-12,20,PayPal,Success,INV-001274
2439,1196,1196,2025-01-12,20,Credit Card,Failed,INV-002439
4542,2300,2300,2025-01-12,20,PayPal,Success,INV-004542
346,190,190,2025-01-12,50,UPI,Failed,INV-000346
2944,1446,1446,2025-01-12,20,Bank Transfer,Success,INV-002944
2766,1363,1363,2025-01-12,20,UPI,Success,INV-002766
2145,1047,1047,2025-01-13,600,Bank Transfer,Success,INV-002145
1985,979,979,2025-01-13,50,UPI,Success,INV-001985
2814,1380,1380,2025-01-13,20,PayPal,Success,INV-002814
1129,594,594,2025-01-13,20,Credit Card,Success,INV-001129
5436,2734,2734,2025-01-13,50,Bank Transfer,Success,INV-005436
5647,2843,2843,2025-01-13,20,PayPal,Success,INV-005647
