subscription_id,user_id,plan_type,billing_cycle,monthly_price,start_date,end_date,renewal_count,status,auto_renew
1,1,Pro,Monthly,50,2025-11-26,,8,Active,Yes
2,2,Basic,Monthly,20,2025-02-01,,1,Active,Yes
3,3,Pro,Monthly,50,2025-10-22,,5,Active,Yes
4,4,Free,,0,2025-07-25,,0,Active,No
5,5,Free,,0,2025-05-28,2025-08-12,0,Cancelled,No
6,6,Pro,Annual,50,2025-04-07,2025-12-07,7,Cancelled,Yes
7,7,Free,,0,2025-08-12,,0,Active,No
8,8,Pro,Monthly,50,2025-06-03,,4,Active,No
9,9,Basic,Monthly,20,2025-08-31,,1,Active,Yes
10,10,Pro,Monthly,50,2025-05-19,,8,Active,Yes
11,11,Free,,0,2025-01-18,,0,Active,No
12,12,Free,,0,2025-03-01,,0,Active,No
13,13,Free,,0,2025-12-07,,0,Active,No
14,14,Basic,Monthly,20,2025-05-03,,3,Active,Yes
15,15,Free,,0,2025-11-10,,0,Active,No
16,16,Pro,Monthly,50,2025-05-14,,1,Active,Yes
17,17,Pro,Monthly,50,2025-12-26,,3,Active,No
18,18,Free,,0,2025-04-27,,0,Active,No
19,19,Pro,Monthly,50,2025-01-05,,4,Active,Yes
20,20,Pro,Monthly,50,2025-12-19,2026-09-18,9,Cancelled,Yes
21,21,Basic,Annual,20,2025-11-21,,9,Active,Yes
22,22,Free,,0,2025-09-19,,0,Active,No
23,23,Basic,Monthly,20,2025-08-22,,0,Active,Yes
24,24,Free,,0,2025-01-19,2025-02-19,0,Cancelled,No
25,25,Free,,0,2025-07-05,,0,Active,No
26,26,Pro,Monthly,50,2025-04-03,,5,Active,No
27,27,Free,,0,2025-12-30,,0,Active,No
28,28,Basic,Monthly,20,2025-06-26,,3,Active,Yes
29,29,Free,,0,2025-06-26,,0,Active,No
30,30,Pro,Monthly,50,2025-05-05,,7,Active,Yes
31,31,Free,,0,2025-09-05,,0,Active,No
32,32,Free,,0,2025-07-12,,0,Active,No
33,33,Basic,Annual,20,2025-04-02,,2,Active,Yes
34,34,Pro,Monthly,50,2025-04-16,2025-06-30,10,Cancelled,Yes
35,35,Basic,Monthly,20,2025-08-12,,6,Active,Yes
36,36,Free,,0,2025-07-25,,0,Active,No
37,37,Basic,Monthly,20,2025-03-11,,1,Active,No
38,38,Basic,Monthly,20,2025-02-02,,10,Active,Yes
39,39,Free,,0,2025-07-11,,0,Active,No
40,40,Free,,0,2025-06-06,,0,Active,No
41,41,Free,,0,2025-05-03,,0,Active,No
42,42,Free,,0,2025-10-12,,0,Active,No
43,43,Free,,0,2025-04-06,,0,Active,No
44,44,Free,,0,2025-07-15,,0,Active,No
45,45,Free,,0,2025-01-29,2025-03-30,0,Cancelled,No
46,46,Basic,Annual,20,2025-01-15,,7,Active,Yes
47,47,Free,,0,2025-09-26,,0,Active,No
48,48,Basic,Monthly,20,2025-06-10,,4,Active,Yes
49,49,Free,,0,2025-03-09,,0,Active,No
50,50,Pro,Monthly,50,2025-12-05,,4,Active,Yes
51,51,Free,,0,2025-07-18,,0,Active,No
52,52,Free,,0,2025-02-03,,0,Active,No
53,53,Basic,Monthly,20,2025-08-14,,7,Active,Yes
54,54,Free,,0,2025-06-05,,0,Active,No
55,55,Free,,0,2025-10-29,2026-02-27,0,Cancelled,No
56,56,Free,,0,2025-07-11,2026-04-10,0,Cancelled,No
57,57,Free,,0,2025-10-07,,0,Active,No
58,58,Free,,0,2025-11-19,,0,Active,No
59,59,Basic,Monthly,20,2025-03-23,2025-07-05,6,Cancelled,No
60,60,Free,,0,2025-01-23,2025-09-01,0,Cancelled,No
61,61,Free,,0,2025-07-14,2025-10-30,0,Cancelled,No
62,62,Free,,0,2025-01-02,,0,Active,No
63,63,Pro,Monthly,50,2025-08-02,,8,Active,No
64,64,Pro,Annual,50,2025-05-30,,2,Active,Yes
65,65,Free,,0,2025-01-09,,0,Active,No
66,66,Pro,Annual,50,2025-05-10,,6,Active,Yes
67,67,Free,,0,2025-11-18,,0,Active,No
68,68,Basic,Monthly,20,2025-09-13,2026-03-26,0,Cancelled,Yes
69,69,Basic,Monthly,20,2025-07-02,,2,Active,Yes
70,70,Free,,0,2025-04-09,,0,Active,No
71,71,Free,,0,2025-09-30,,0,Active,No
72,72,Free,,0,2025-08-20,,0,Active,No
73,73,Free,,0,2025-11-11,,0,Active,No
74,74,Free,,0,2025-11-05,,0,Active,No
75,75,Free,,0,2025-06-08,2025-09-20,0,Cancelled,No
76,76,Pro,Monthly,50,2025-03-22,2025-09-30,0,Cancelled,Yes
77,77,Free,,0,2025-03-28,,0,Active,No
78,78,Pro,Monthly,50,2025-01-10,,5,Active,No
79,79,Free,,0,2025-09-07,2025-12-05,0,Cancelled,No
80,80,Free,,0,2025-10-12,,0,Active,No
81,81,Free,,0,2025-02-04,,0,Active,No
82,82,Free,,0,2025-08-06,,0,Active,No
83,83,Basic,Monthly,20,2025-07-01,2025-08-08,9,Cancelled,No
84,84,Pro,Monthly,50,2025-07-28,,3,Active,Yes
85,85,Free,,0,2025-03-13,,0,Active,No
86,86,Free,,0,2025-04-21,,0,Active,No
87,87,Basic,Monthly,20,2025-07-19,,4,Active,Yes
88,88,Free,,0,2025-10-22,2026-04-29,0,Cancelled,No
89,89,Basic,Monthly,20,2025-08-30,2026-05-11,0,Cancelled,No
90,90,Pro,Monthly,50,2025-09-15,2026-04-10,9,Cancelled,Yes
91,91,Free,,0,2025-08-22,,0,Active,No
92,92,Free,,0,2025-12-11,,0,Active,No
93,93,Free,,0,2025-01-20,2025-10-21,0,Cancelled,No
94,94,Pro,Monthly,50,2025-02-10,,10,Active,Yes
95,95,Free,,0,2025-01-03,2025-03-10,0,Cancelled,No
96,96,Free,,0,2025-06-10,,0,Active,No
