user_id,country,city,device,acquisition_channel,signup_date,cohort_month,activation_date,plan_type,experiment_group
1,USA,New York,Mobile,Referral,2025-11-26,2025-11,2025-12-02,Free,B
2,India,Hyderabad,Mobile,Organic Search,2025-02-01,2025-02,2025-02-08,Basic,B
3,India,Bengaluru,Mobile,Referral,2025-10-22,2025-10,2025-10-26,Free,A
4,USA,Austin,Desktop,Email Campaign,2025-07-25,2025-07,,Basic,B
5,USA,San Francisco,Desktop,Referral,2025-05-28,2025-05,2025-06-04,Free,A
6,India,Bengaluru,Mobile,Organic Search,2025-04-07,2025-04,,Basic,A
7,UK,London,Mobile,Email Campaign,2025-08-12,2025-08,,Free,B
8,India,Hyderabad,Desktop,Organic Search,2025-06-03,2025-06,2025-06-12,Free,A
9,India,Hyderabad,Tablet,Organic Search,2025-08-31,2025-08,2025-09-02,Basic,A
10,India,Bengaluru,Desktop,Google Ads,2025-05-19,2025-05,2025-05-21,Basic,A
11,USA,San Francisco,Desktop,Google Ads,2025-01-18,2025-01,,Free,B
12,India,Hyderabad,Desktop,Referral,2025-03-01,2025-03,2025-03-04,Free,B
13,USA,New York,Desktop,Referral,2025-12-07,2025-12,2025-12-08,Free,B
14,Germany,Berlin,Tablet,Organic Search,2025-05-03,2025-05,2025-05-06,Basic,A
15,India,Hyderabad,Desktop,Organic Search,2025-11-10,2025-11,2025-11-20,Basic,A
16,India,Mumbai,Mobile,Organic Search,2025-05-14,2025-05,,Free,B
17,USA,Austin,Desktop,Google Ads,2025-12-26,2025-12,2025-12-30,Free,B
18,India,Mumbai,Desktop,Organic Search,2025-04-27,2025-04,,Free,A
19,India,Mumbai,Desktop,Organic Search,2025-01-05,2025-01,,Basic,B
20,India,Hyderabad,Mobile,Organic Search,2025-12-19,2025-12,,Free,A
21,Canada,Toronto,Mobile,Google Ads,2025-11-21,2025-11,2025-11-29,Free,A
22,UK,London,Mobile,Referral,2025-09-19,2025-09,,Free,A
23,UK,London,Desktop,Email Campaign,2025-08-22,2025-08,2025-09-05,Pro,A
24,UK,London,Desktop,Referral,2025-01-19,2025-01,2025-01-24,Pro,A
25,India,Mumbai,Desktop,Organic Search,2025-07-05,2025-07,2025-07-06,Free,A
26,India,Bengaluru,Desktop,Organic Search,2025-04-03,2025-04,,Free,A
27,India,Hyderabad,Mobile,Referral,2025-12-30,2025-12,2026-01-07,Free,A
28,Germany,Berlin,Desktop,Google Ads,2025-06-26,2025-06,2025-07-02,Free,B
29,Canada,Toronto,Desktop,Organic Search,2025-06-26,2025-06,2025-07-07,Basic,A
30,USA,Austin,Desktop,Organic Search,2025-05-05,2025-05,2025-05-18,Free,A
31,USA,New York,Mobile,Email Campaign,2025-09-05,2025-09,2025-09-11,Basic,A
32,India,Hyderabad,Desktop,Google Ads,2025-07-12,2025-07,2025-07-21,Free,B
33,India,Mumbai,Desktop,Referral,2025-04-02,2025-04,2025-04-06,Basic,B
34,Canada,Toronto,Tablet,Organic Search,2025-04-16,2025-04,,Free,B
35,Germany,Berlin,Mobile,Google Ads,2025-08-12,2025-08,,Basic,B
36,India,Hyderabad,Mobile,Referral,2025-07-25,2025-07,,Free,A
37,UK,Manchester,Desktop,Organic Search,2025-03-11,2025-03,2025-03-24,Free,B
38,Canada,Vancouver,Mobile,Google Ads,2025-02-02,2025-02,2025-02-13,Free,A
39,Germany,Munich,Desktop,Google Ads,2025-07-11,2025-07,2025-07-21,Pro,B
